Score,Feedback,Date,Response,Review URL
5,"The online procedure was easy. Questions answered promptly. A video call with my allocated solicitor, to confirm that the draft will properly reflected my wishes.","2026-03-18","",https://uk.trustpilot.com/reviews/67d9e8f8e8e8e8e8e8e8e8e8
5,"I cannot rate Helen Dawson highly enough in dealing with 2 matters with the Land Registry which LR took over a year to conclude. Helen’s professionalism , positive attitude providing clarity , quickne...","2026-03-19","",https://uk.trustpilot.com/reviews/67db3c8e8e8e8e8e8e8e8e8e
5,"I would like to highly recommend Lawhire, I was put in touch with my a Lawyer Farasat Ahmed, since December 2025. I am so please with this Gentleman's support through my case, There have been times wh...","2026-02-20","Company replied",https://uk.trustpilot.com/reviews/67b79c8e8e8e8e8e8e8e8e8e
5,"I needed legal advice urgently as time was running out. I received a response straight away. Angalee and Robert were brilliant in making me feel heard and responding to my calls and emails. I am so gr...","2026-02-20","Company replied",https://uk.trustpilot.com/reviews/67b79d8e8e8e8e8e8e8e8e8e
5,"Ishrat Khan handled my mortgage buyout case and provided an excellent service. I was kept informed throughout the process and any queries I had were answered quickly and clearly. The Lawhive po...","2026-02-21","Company replied",https://uk.trustpilot.com/reviews/67b8ee8e8e8e8e8e8e8e8e8e
5,"I highly recommend Johannes of Lawhive who has been working on my complex case. He is genuinely interested in my case from the start and is transparent with fees giving me an indication of costs. H...","2026-02-19","Company replied",https://uk.trustpilot.com/reviews/67b64c8e8e8e8e8e8e8e8e8e
5,"We were recommended Johannes after having problems with the rental agreement with our tenant. He has responded promptly with advice. Taken time to answer questions and explain. We understand we are no...","2026-02-18","Company replied",https://uk.trustpilot.com/reviews/67b4fc8e8e8e8e8e8e8e8e8e
5,"Very quick response, and telephone contact made as agreed. Then each stage completed without hassle online with lawyers who responded very quickly to my messages. I did feel that this is something I c...","2026-02-22","Company replied",https://uk.trustpilot.com/reviews/67ba3c8e8e8e8e8e8e8e8e8e
5,"Mark Niven has provided me the best service (ever!) when it comes to dealing with the legals for a commercial property purchase transaction. I hope I will be in a position to appoint Mark again very s...","2026-03-09","",https://uk.trustpilot.com/reviews/67cdcc8e8e8e8e8e8e8e8e8e
5,"My allocated solicitor was so patient and gave careful, considered and invaluable advice. My case was not straight forward and dragged on with various unforeseen changes but she persisted and secured...","2026-03-18","",https://uk.trustpilot.com/reviews/67d99c8e8e8e8e8e8e8e8e8e
5,"After contacting my local lawyers they referred me to Lawhive and Angalee Pandya. I had a fairly straight forward ( as it turned out) HR document to have reviewed signed and returned to the...","2026-03-13","",https://uk.trustpilot.com/reviews/67d2fc8e8e8e8e8e8e8e8e8e
5,"I have been searching for advice and support on Tenancy eviction. After speaking to Inayah she helped allay my anxieties. Her calm, confident, friendly and very professional manner helped alleviate my...","2026-03-01","Company replied",https://uk.trustpilot.com/reviews/67c33c8e8e8e8e8e8e8e8e8e
5,"Angalee pandya absolutely bloody wonderful, never met the lady. Seen a picture of her seems like a no nonsense lady. AND I was right, VERY helpful, VERY on the ball, VERY impressed. First time be...","2026-03-17","",https://uk.trustpilot.com/reviews/67d84c8e8e8e8e8e8e8e8e8e
5,"I spoke to Michelle yesterday who gave me very good information, information that was easy to understand. The company offered me a fixed rate which gave me peace of mind that the charge was not going...","2026-02-27","Company replied",https://uk.trustpilot.com/reviews/67c09c8e8e8e8e8e8e8e8e8e
5,"I would highly recommend Basmah Yousuf and Sabbir Shahjahan for their speedy professional service. Prior to their involvement, I had been assigned a completely useless solicitor at Lawhive, who I late...","2026-02-28","Company replied",https://uk.trustpilot.com/reviews/67c1ed8e8e8e8e8e8e8e8e8e
1,"Beyond terrible and utter time wasters. We engaged them for conveyencing - just a simple sale. We went through there lengthy ID verification process which took several days then waited 6 days for them...","2026-03-17","Company replied",https://uk.trustpilot.com/reviews/67d89c8e8e8e8e8e8e8e8e8e
5,"Easy to contact and Zak was friendly and informative. He provided guidance on pricing and the service that I required. In the end, I decided to wait and there was no pressure to make a rush decision...","2026-02-27","Company replied",https://uk.trustpilot.com/reviews/67c04c8e8e8e8e8e8e8e8e8e
1,"Absolutely shocking experience so far and its still not finished. The solicitors, two of which I've been passed to now, give zero cares about your case, we must just be side action, I'm thousands o...","2026-03-02","Company replied",https://uk.trustpilot.com/reviews/67c49c8e8e8e8e8e8e8e8e8e
1,"Do not go near this firm. I sold a property and the buyer’s lawyers released funds to me unconditionally after exchange and LawHive have taken so far 3 weeks plus and refuse to send the funds to me. T...","2026-03-06","Company replied",https://uk.trustpilot.com/reviews/67c9cc8e8e8e8e8e8e8e8e8e
5,"I happened to find Lawhive by chance after being let down by another conveyancing solicitor. From the start, I was hugely impressed in how matters were handled. Esther Ekpo, who acted for us, was ex...","2026-03-06","",https://uk.trustpilot.com/reviews/67c99c8e8e8e8e8e8e8e8e8e
5,"Julie listened and understood our issues, then guided us through their resolution. The process was painless and conducted in a friendly but efficient manner. Very happy to recommend Law Hive and Jul...","2026-03-03","",https://uk.trustpilot.com/reviews/67c59c8e8e8e8e8e8e8e8e8e
